image_path,category,architecture,defect_type,severity,mean_iou_disagreement,max_iou_disagreement,mean_spearman_disagreement,max_spearman_disagreement
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_054.png,screw,resnet18,thread_top,0.005301339285714286,0.8046312158967043,0.9514944668528287,0.7576235304231375,1.168795962857436
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_055.png,screw,resnet18,thread_top,0.0038464604591836736,0.7193043024920248,0.9013686726048229,0.5664644206484499,0.9314418336149615
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_056.png,screw,resnet18,thread_top,0.004424426020408163,0.7457628288492014,0.9501372132760317,0.5787182885442839,0.94997202958446
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_057.png,screw,resnet18,thread_top,0.0064572704081632655,0.7387718523240516,0.9104782375067169,0.5893424011115335,0.7813649030753151
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_058.png,screw,resnet18,thread_top,0.0010562818877551021,0.7656410262710563,0.9029325830537821,0.6370892161653438,0.9508485286097124
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_001.png,screw,vit,manipulated_front,0.0021125637755102043,0.7702511398513944,0.858851404716236,0.7866025564179783,0.9160676899545631
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_002.png,screw,vit,manipulated_front,0.0012755102040816326,0.7406798271952381,0.8441803325524255,0.7447904927050568,0.9066530495220175
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_003.png,screw,vit,manipulated_front,0.0014548788265306123,0.6984064869376346,0.823998125146473,0.6935637502822379,0.9135839070186255
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_006.png,screw,vit,manipulated_front,0.0013552295918367347,0.718244740804226,0.8402041167364257,0.7198506374859384,0.9321669392948737
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_008.png,screw,vit,manipulated_front,0.0027503188775510204,0.7131333791814757,0.8225844004656577,0.7090814665162117,0.9098569991296187
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_010.png,screw,vit,manipulated_front,0.0016940369897959183,0.7873956274270336,0.8755811999327768,0.8504298388795162,1.0086956883496587
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_011.png,screw,vit,manipulated_front,0.0024115114795918366,0.724789529914367,0.8245002324500232,0.7593594855080213,0.9321304314817259
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_012.png,screw,vit,manipulated_front,0.0030293367346938774,0.7453103611382191,0.8472760428538865,0.7625623913830687,0.9444413432951769
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_014.png,screw,vit,scratch_head,0.0028698979591836736,0.743409542743782,0.8715202231520223,0.7837263590165978,0.989913970307346
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_015.png,screw,vit,scratch_head,0.002072704081632653,0.7178718945113443,0.8639347973737831,0.7542590084439414,0.9677039417943655
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_016.png,screw,vit,scratch_head,0.0024713010204081634,0.7128855257851682,0.8536129215075092,0.7443088513036261,0.9537695067032302
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_017.png,screw,vit,scratch_head,0.0023915816326530613,0.7338011566243993,0.8656682678722802,0.7522835814343917,0.9130372630553136
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_018.png,screw,vit,scratch_head,0.00253109056122449,0.7432289751435138,0.8740042634354314,0.8076980139598385,1.007230286943295
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_021.png,screw,vit,scratch_head,0.0022122130102040817,0.713565910186973,0.8410416305791327,0.7388886790798304,0.942715382466051
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_022.png,screw,vit,scratch_head,0.0028698979591836736,0.7468569235406628,0.8485227984288723,0.7276777158334228,0.9010794864686172
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_024.png,screw,vit,scratch_head,0.0016541772959183674,0.7200272386704164,0.86665172568355,0.7912734996258913,1.0285469613846727
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_025.png,screw,vit,scratch_neck,0.0024713010204081634,0.7135262383811446,0.8353963958777132,0.6985840528058729,0.8783681971157989
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_028.png,screw,vit,scratch_neck,0.0027503188775510204,0.7454143948245976,0.8710793615358857,0.7922024621504175,0.9759607810408468
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_029.png,screw,vit,scratch_neck,0.004364636479591837,0.7121096222563171,0.8458398021965384,0.6939204756623966,0.9067316224880447
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_030.png,screw,vit,scratch_neck,0.0033681441326530613,0.7276253166002449,0.8420630831759116,0.7539241450701715,0.9653550659055495
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_031.png,screw,vit,scratch_neck,0.001634247448979592,0.7487983509019194,0.8609046024629703,0.788849059516478,0.9597401200785582
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_032.png,screw,vit,scratch_neck,0.0009765625,0.7319164641659771,0.8752224199288257,0.7721158441333779,0.9766664501466887
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_033.png,screw,vit,scratch_neck,0.0029496173469387753,0.7127441856489023,0.8331122007499279,0.7802398044679107,0.9517522626672499
